Designator;Mid X;Mid Y;Layer;Rotation
C1;134.5;-37;Top;270
C2;77.3875;-66.4;Top;0
C3;121.19;-63.12;Top;270
C4;116.11;-58.5;Top;0
C5;131.75;-37.25;Top;270
C6;76.2;-74.2875;Top;90
C7;66.39;-63.62;Top;270
C8;94.33;-63.12;Top;270
C9;89.25;-58.5;Top;0
C10;61.5;-59;Top;0
C11;108;-37;Top;270
C12;80.5;-37.5;Top;270
C13;105;-37.25;Top;270
C14;77.25;-37.25;Top;270
C15;138.25;-70.4;Top;180
C16;130.06;-75.69;Top;90
C17;129.75;-69.5;Top;270
C18;131.25;-69.5;Top;270
C19;130.06;-72.6675;Top;90
C20;88.1;-68.2875;Top;270
C21;95.4;-76.5;Top;90
C22;78;-76.5;Top;270
C23;82.4625;-77.2;Top;180
C24;89;-76.3;Top;90
C25;93.7;-73.25;Top;270
C26;93.7;-70.25;Top;90
C29;67.2;-72.3;Top;270
C30;117.7;-72.6;Top;90
C31;84;-37.5;Top;270
C32;111.5;-37;Top;270
C33;138;-37;Top;270
C34;107;-71.9;Top;270
C35;118.4;-70.3;Top;180
C36;130;-42.25;Top;270
C37;103.25;-42.25;Top;270
C38;75.5;-42.75;Top;270
C39;50.1;-77;Top;180
C40;47.1;-77;Top;0
C41;70.2;-72.3;Top;270
C42;74.7;-72.2;Top;90
D1;113;-58.65;Top;270
D2;86;-58.65;Top;270
D3;58.5;-59;Top;270
D4;46.1;-70;Top;90
D5;60.45;-72.9;Top;0
D6;98.7;-76.4;Top;270
D7;98;-70.4;Top;270
D8;71.4;-66.8;Top;180
D9;124.75;-43.5;Top;0
D10;133.25;-51.5;Top;90
D11;98;-43.5;Top;0
D12;106.5;-51.8;Top;90
D13;70.25;-43.75;Top;0
D14;79.5;-52.25;Top;90
D16;46.1;-74.7;Top;270
D17;56.1;-73;Top;180
D18;53.75;-72.25;Top;270
D19;56.2;-65.5;Top;0
D20;103.9;-71.2;Top;0
D21;123.8;-67.9;Top;0
D22;114.9;-74.6;Top;180
FB1;138.2125;-68.5;Top;180
J1;42.9;-72.9;Top;270
L1;124.44;-73;Top;90
L3;110.5;-72.6;Top;270
Q1;124.92;-37.55;Top;90
Q2;127.46;-51.61;Top;180
Q3;98.06;-37.55;Top;90
Q4;100.6;-51.61;Top;180
Q5;70.355;-37.78;Top;90
Q6;72.66;-52.11;Top;180
R1;133;-43.4;Top;90
R2;113;-62;Top;180
R3;122.73;-63.12;Top;90
R4;90.5;-76.3;Top;270
R5;129;-63;Top;90
R6;116;-57;Top;180
R7;86;-62;Top;180
R8;58;-62.5;Top;180
R9;89;-57;Top;180
R10;95.87;-63.12;Top;90
R11;61.5;-57.5;Top;180
R12;67.93;-63.62;Top;90
R13;106.5;-43.4;Top;90
R14;78.5;-43.9;Top;90
R15;95.2;-73.25;Top;90
R16;105.5;-63;Top;90
R17;95.2;-70.25;Top;270
R18;83;-63.5;Top;90
R19;133.5;-69;Top;0
R20;133.5;-70.5;Top;0
R21;53.6;-67.65;Top;180
R22;53.6;-69.15;Top;180
R23;97;-76.5;Top;90
R24;116.5;-77;Top;180
R25;137;-43.4;Top;90
R26;110.5;-43.4;Top;90
R27;82.5;-43.9;Top;90
R28;100.4;-76.5;Top;270
R29;124.5;-63;Top;270
R30;100;-70.4;Top;270
R31;98;-63;Top;270
R32;73.4;-65;Top;0
R33;70;-63.5;Top;270
R34;64.9;-73.1;Top;180
R35;68.7;-72.3;Top;270
R36;47.9;-74.7;Top;90
R37;58.6;-75.4;Top;270
R38;51;-74.2;Top;90
R39;49.5;-74.1875;Top;90
R40;63.3;-76.7;Top;0
R41;66.3375;-76.7;Top;0
R42;69.3;-76.7;Top;180
R43;129.5;-44.75;Top;180
R44;102.75;-44.75;Top;180
R45;75;-45.25;Top;180
R46;72.45;-73;Top;180
R47;90.4;-71.35;Top;0
R48;90.4;-69.8;Top;180
R49;58.7;-64.8;Top;270
R50;103.9;-72.7;Top;0
R51;126.8;-67.9;Top;180
R52;135.75;-69.7125;Top;270
R53;118.1;-74.9;Top;180
R54;119.2;-72.6;Top;90
U1;135.14;-74.17;Top;180
U2;82.15;-71.25;Top;90
U3;117.38;-63.12;Top;90
U4;90.52;-62.95;Top;90
U5;62.58;-63.62;Top;90
U6;105.25;-75.25;Top;180
U8;115.1;-71.7;Top;90
X1;73.6;-75.8;Top;270
